Cluster Number	Metanode UniProt ID	SwissProt Annotations
1	A3DDZ7	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A4IMH7	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A4J5Q8	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A4J5U4	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A4SCW6	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A4VKC4	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A4XL48	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A4XLD9	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A4XYW1	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A5CC78	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A5FPV2	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A5GRJ8	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A6GZF6	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A6H119	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A6LSR6	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A6QCD0	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A6TRJ4	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A6U5H0	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A7FUL1	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A7H5G3	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A8MFD5	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A8Z642	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A8ZVH2	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A9A0B5	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A9AH21	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A9BEU9	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A9BGV7	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A9BUQ1	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A9F1Y8	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A9FST8	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A9HZZ2	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A9KMU9	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A9WDA3	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A9WHB1	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	B0TIH8	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	B1GZH1	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	B1H0D2	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	B1HR59	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	B1I310	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	B1ZVI7	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	B1ZW93	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	B2A3X6	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
